"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"(Intercept)",-0.354850847053975,0.670791826384401,-1.67209522508577,-0.354778337603629,0.960742473501259,-0.354575653661327,3.79714274257997e-07
"AQI_2months",0.00659074358754473,0.0424405948404139,-0.0765109146017199,0.00651250676295561,0.0900499317938011,0.00635968993790663,1.02743093028819e-06
"popdensity",0.103056525875449,0.0335555238691005,0.037181964301973,0.103053156527824,0.168890303273052,0.103049211000909,2.61454860701489e-07
