"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"(Intercept)",-2.39767342361783,0.762235077276207,-3.8941956412939,-2.39769465768796,-0.902406783067656,-2.39767264002549,8.02695534167236e-09
"NO2",0.000182054547094403,0.00235090066248374,-0.0044329576630729,0.000181761470159679,0.00479452641164844,0.000181370497088211,3.10838467188423e-07
"PM2.5",-0.000334019801093784,0.00278075220389686,-0.00579336150330359,-0.00033418911699833,0.00512132685095892,-0.000334295081955103,1.60332806199772e-07
"PM10",0.000182758607760465,0.00243984903521441,-0.00460751163797211,0.000182706263739094,0.00496888924418279,0.000182808565244995,5.80481513335497e-08
