"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"(Intercept)",-2.84379231186836,0.775606626963233,-4.36667263841203,-2.84377446984241,-1.32243841902843,-2.84367256343021,2.11673776762385e-07
"SO2",0.00367272554350056,0.0411306421122441,-0.0771028183765192,0.00367945833315343,0.084333961302637,0.00369647048680589,4.59757301200147e-07
"O3",0.0649901537447237,0.0441197144446284,-0.0216109989137252,0.0649813238846381,0.151562074006428,0.0649673031199359,4.33060498358155e-07
"PM2.5",0.0847401004114464,0.0440184802697214,-0.00166963040286057,0.0847338435619489,0.171106533095323,0.0847249782270039,3.42710424001044e-07
"PM10",0.0606283090278722,0.0433606918171602,-0.0245478440781309,0.0606426078097831,0.14564315732624,0.0606749630055502,6.33836209139996e-07
"NO2",0.0315741790218621,0.0533869279513064,-0.0732295786954058,0.0315678090096142,0.136318662192075,0.0315595038021567,3.00517330155731e-07
"CO",-0.105788409056799,0.0468501589141888,-0.197750712071905,-0.105797209159047,-0.0138603349056104,-0.105810941534709,4.15517417132233e-07
"popdensity",0.0247529269663452,0.0442939182480222,-0.0622091201404485,0.0247508005387315,0.111648095176188,0.0247502617774005,1.16791874700268e-07
