"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"(Intercept)",-2.39894507840304,0.772583209020143,-3.91578414454423,-2.39896660875703,-0.883378529517815,-2.39894430919619,7.85787232381818e-09
"NO2",0.000399307450842728,0.00235828883109197,-0.00423020679956468,0.00039901290715989,0.00502627640160189,0.00039861960940264,3.11278597079364e-07
"PM2.5",-6.98260916281596e-05,0.00278936014865373,-0.00554606888641811,-6.99953986380833e-05,0.00540240627588092,-7.01006187225441e-05,1.59743712397225e-07
"PM10",-7.26325789102823e-05,0.0024487909598609,-0.00488045760217232,-7.26856462337941e-05,0.00473104123815496,-7.25840441956996e-05,5.68245812034261e-08
"incomePerCapita",-0.0169799394820654,0.0238668887472089,-0.0638387493105002,-0.0169806135128875,0.0298398772249989,-0.0169799471827597,3.71213702084129e-09
"healthExpenditure",-0.0146236373995295,0.0308347823504198,-0.0751626324577971,-0.0146245020276718,0.0458646516525367,-0.0146236235246575,4.63236049180066e-09
"density",-0.0193900388863134,0.0301821487579943,-0.0786478076569989,-0.0193908887334666,0.0398183299475339,-0.0193900395465923,6.17833532251273e-10
