"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"(Intercept)",-3.92149608133089,1.64195354846982,-7.14520176465477,-3.92154229973967,-0.700485809398204,-3.92149593458252,1.57845186315888e-09
"NO2",0.0188306755689822,0.0204499328098116,-0.0213133254401034,0.0188278065770827,0.0589543517754784,0.0188237638312243,3.39463411509644e-07
"PM2.5",0.00112313959350212,0.0247419447965603,-0.0474536064994211,0.00112235415600347,0.0496601429236418,0.00112286619586619,3.87176616631384e-08
"PM10",-0.00597622368923353,0.0219055636745315,-0.0489828532257332,-0.00597744848850466,0.0369983177787629,-0.00597806379559979,1.44503504466894e-07
