"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"(Intercept)",-0.846633320057331,0.990716459714027,-2.79176828538804,-0.846648867893264,1.09678360389206,-0.846595809607851,8.66344543872279e-08
"AQI_4years",0.0989118637225536,0.024892008679302,0.0500900159997465,0.098893812237511,0.147789395782706,0.0988597314920543,8.41359225638725e-07
"popdensity",0.00951458188699302,0.0238810008467036,-0.0373719324779003,0.00951399568150505,0.0563610902200335,0.00951484744165377,3.88788763700685e-08
