"id","day","previous_deaths","new_deaths","previous_cases","new_cases","daily_AQI"
1009,50,0,0,0,0,NA
1009,57,0,0,0,1,NA
1009,64,0,0,2,4,NA
1009,71,0,0,6,5,NA
1009,78,0,0,11,7,NA
1009,85,0,0,18,12,NA
1009,92,0,0,31,7,NA
1009,99,0,0,37,6,NA
1009,106,0,0,44,3,NA
1009,113,0,1,45,2,NA
1009,120,1,0,47,6,NA
1009,127,1,0,58,10,NA
1011,1,0,0,0,0,NA
1011,8,0,0,0,0,NA
1011,15,0,0,0,0,NA
1011,22,0,0,0,0,NA
1011,29,0,0,0,0,NA
1011,36,0,0,0,0,NA
1011,43,0,0,0,0,NA
1011,50,0,0,0,0,NA
1011,57,0,0,0,0,NA
1011,64,0,0,2,3,NA
1011,71,0,0,2,0,NA
1011,78,0,0,3,5,NA
1011,85,0,0,8,3,NA
1011,92,0,0,12,1,NA
1011,99,0,1,13,6,NA
1011,106,1,0,18,10,NA
1011,113,1,0,28,36,NA
1011,120,1,2,65,112,NA
1011,127,3,3,183,39,NA
1013,1,0,0,0,0,NA
1013,8,0,0,0,0,NA
1013,15,0,0,0,0,NA
1013,22,0,0,0,0,NA
1013,29,0,0,0,0,NA
1013,36,0,0,0,0,NA
1013,43,0,0,0,0,NA
1013,50,0,0,0,0,NA
1013,57,0,0,0,1,NA
1013,64,0,0,1,0,NA
1013,71,0,0,1,1,NA
1013,78,0,0,3,7,NA
1013,85,0,0,11,8,NA
1013,92,0,1,19,33,NA
1013,99,1,1,53,80,NA
1013,106,2,4,155,100,NA
1013,113,6,5,249,82,NA
1013,120,11,2,318,79,NA
1013,127,13,5,392,28,NA
1015,1,0,0,0,0,NA
1015,8,0,0,0,0,NA
1015,15,0,0,0,0,NA
1015,22,0,0,0,0,NA
1015,29,0,0,0,0,NA
1015,36,0,0,0,0,NA
1015,43,0,0,0,0,NA
1015,50,0,0,0,1,NA
1015,57,0,0,1,1,NA
1015,64,0,0,2,9,NA
1015,71,0,0,12,38,NA
1015,78,0,0,53,13,NA
1015,85,0,3,62,23,NA
1015,92,3,0,88,8,NA
1015,99,3,0,94,21,NA
1015,106,3,0,120,13,NA
1015,113,3,0,128,9,NA
1015,120,3,0,136,16,NA
1015,127,3,0,152,13,NA
1017,1,0,0,0,0,NA
1017,8,0,0,0,0,NA
1017,15,0,0,0,0,NA
1017,22,0,0,0,0,NA
1017,29,0,0,0,0,NA
1017,36,0,0,0,0,NA
1017,43,0,0,0,0,NA
1017,50,0,0,0,0,NA
1017,57,0,0,1,10,NA
1017,64,0,4,13,32,NA
1017,71,4,4,67,67,NA
1017,78,8,2,151,112,NA
1017,85,10,6,231,49,NA
1017,92,16,3,275,23,NA
1017,99,19,3,295,13,NA
1017,106,22,0,308,18,NA
1017,113,22,1,326,7,NA
1017,120,23,1,332,9,NA
1017,127,24,2,349,19,NA
1019,1,0,0,0,0,NA
1019,8,0,0,0,0,NA
1019,15,0,0,0,0,NA
1019,22,0,0,0,0,NA
1019,29,0,0,0,0,NA
1019,36,0,0,0,0,NA
1019,43,0,0,0,0,NA
1019,50,0,0,0,0,NA
1019,57,0,0,0,1,NA
1019,64,0,0,1,1,NA
1019,71,0,0,4,5,NA
1019,78,0,0,7,2,NA
1019,85,0,0,11,4,NA
1019,92,0,0,12,2,NA
1019,99,0,0,15,3,NA
1019,106,0,0,18,6,NA
1019,113,0,0,25,6,NA
1019,120,0,2,31,3,NA
1019,127,2,1,34,5,NA
1021,1,0,0,0,0,NA
1021,8,0,0,0,0,NA
1021,15,0,0,0,0,NA
1021,22,0,0,0,0,NA
1021,29,0,0,0,0,NA
1021,36,0,0,0,0,NA
1021,43,0,0,0,0,NA
1021,50,0,0,0,0,NA
1021,57,0,0,0,1,NA
1021,64,0,0,4,12,NA
1021,71,0,0,14,7,NA
1021,78,0,0,25,15,NA
1021,85,0,1,37,11,NA
1021,92,1,0,47,7,NA
1021,99,1,0,53,8,NA
1021,106,1,0,63,12,NA
1021,113,1,0,74,10,NA
1021,120,1,0,83,10,NA
1021,127,1,0,97,12,NA
1023,1,0,0,0,0,NA
1023,8,0,0,0,0,NA
1023,15,0,0,0,0,NA
1023,22,0,0,0,0,NA
1023,29,0,0,0,0,NA
1023,36,0,0,0,0,NA
1023,43,0,0,0,0,NA
1023,50,0,0,0,0,NA
1023,57,0,0,0,0,NA
1023,64,0,0,1,4,NA
1023,71,0,0,4,2,NA
1023,78,0,0,6,6,NA
1023,85,0,0,13,9,NA
1023,92,0,0,22,18,NA
1023,99,0,0,43,15,NA
1023,106,0,2,56,18,NA
1023,113,2,1,77,57,NA
1023,120,3,4,131,19,NA
1023,127,7,3,148,5,NA
1025,1,0,0,0,0,NA
1025,8,0,0,0,0,NA
1025,15,0,0,0,0,NA
1025,22,0,0,0,0,NA
1025,29,0,0,0,0,NA
1025,36,0,0,0,0,NA
1025,43,0,0,0,0,NA
1025,50,0,0,0,0,NA
1025,57,0,0,0,0,NA
1025,64,0,0,0,0,NA
1025,71,0,0,2,10,NA
1025,78,0,0,12,11,NA
1025,85,0,1,24,4,NA
1025,92,1,0,25,5,NA
1025,99,1,0,32,15,NA
1025,106,1,0,50,20,NA
1025,113,1,1,68,24,NA
1025,120,2,0,91,39,NA
1025,127,2,0,129,21,NA
1027,1,0,0,0,0,NA
1027,8,0,0,0,0,NA
1027,15,0,0,0,0,NA
1027,22,0,0,0,0,NA
1027,29,0,0,0,0,NA
1027,36,0,0,0,0,NA
1027,43,0,0,0,0,NA
1027,50,0,0,0,0,NA
1027,57,0,0,0,1,NA
1027,64,0,0,1,1,NA
1027,71,0,0,6,8,NA
1027,78,0,0,11,4,NA
1027,85,0,0,14,5,NA
1027,92,0,1,19,2,NA
1027,99,1,0,21,4,NA
1027,106,1,0,25,2,NA
1027,113,1,1,27,0,NA
1027,120,2,0,27,0,NA
1027,127,2,0,27,1,NA
1029,1,0,0,0,0,NA
1029,8,0,0,0,0,NA
1029,15,0,0,0,0,NA
1029,22,0,0,0,0,NA
1029,29,0,0,0,0,NA
1029,36,0,0,0,0,NA
1029,43,0,0,0,0,NA
1029,50,0,0,0,0,NA
1029,57,0,0,0,1,NA
1029,64,0,0,1,5,NA
1029,71,0,0,6,6,NA
1029,78,0,0,12,0,NA
1029,85,0,1,12,0,NA
1029,92,1,0,12,0,NA
1029,99,1,0,12,1,NA
1029,106,1,0,13,0,NA
1029,113,1,0,13,0,NA
1029,120,1,0,13,0,NA
1029,127,1,0,13,2,NA
1031,1,0,0,0,0,NA
1031,8,0,0,0,0,NA
1031,15,0,0,0,0,NA
1031,22,0,0,0,0,NA
1031,29,0,0,0,0,NA
1031,36,0,0,0,0,NA
1031,43,0,0,0,0,NA
1031,50,0,0,0,0,NA
1031,57,0,0,0,0,NA
1031,64,0,0,1,0,NA
1031,71,0,0,1,8,NA
1031,78,0,0,13,32,NA
1031,85,0,1,47,33,NA
1031,92,1,-1,80,34,NA
1031,99,0,0,111,31,NA
1031,106,0,1,141,20,NA
1031,113,1,0,159,26,NA
1031,120,1,0,184,35,NA
1031,127,1,0,224,20,NA
1033,1,0,0,0,0,NA
1033,8,0,0,0,0,NA
1033,15,0,0,0,0,NA
1033,22,0,0,0,0,NA
1033,29,0,0,0,0,NA
1033,36,0,0,0,0,NA
1033,43,0,0,0,0,NA
1033,50,0,0,0,0,NA
1033,57,0,0,0,1,NA
1033,64,0,0,1,3,NA
1033,71,0,1,5,3,NA
1033,78,1,0,7,4,NA
1033,85,1,0,12,9,NA
1033,92,1,1,22,7,NA
1033,99,2,0,29,17,NA
1033,106,2,0,51,30,NA
1033,113,2,0,79,36,NA
1033,120,2,0,111,51,NA
1033,127,2,0,161,26,NA
1035,1,0,0,0,0,NA
1035,8,0,0,0,0,NA
1035,15,0,0,0,0,NA
1035,22,0,0,0,0,NA
1035,29,0,0,0,0,NA
1035,36,0,0,0,0,NA
1035,43,0,0,0,0,NA
1035,50,0,0,0,0,NA
1035,57,0,0,0,0,NA
1035,64,0,0,0,0,NA
1035,71,0,0,1,4,NA
1035,78,0,0,4,1,NA
1035,85,0,0,8,4,NA
1035,92,0,0,9,0,NA
1035,99,0,0,9,0,NA
1035,106,0,0,12,7,NA
1035,113,0,0,17,6,NA
1035,120,0,1,22,13,NA
1035,127,1,0,35,6,NA
1037,1,0,0,0,0,NA
1037,8,0,0,0,0,NA
1037,15,0,0,0,0,NA
1037,22,0,0,0,0,NA
1037,29,0,0,0,0,NA
1037,36,0,0,0,0,NA
1037,43,0,0,0,0,NA
