"id","day","previous_deaths","new_deaths","previous_cases","new_cases"
"21",11,0,0,1,0
"18",11,0,0,2,1
"15",11,0,0,45,14
"08",11,97,30,698,154
"06",11,0,0,21,3
"12",11,0,0,44,14
"07",11,5,3,28,2
"03",11,366,98,2251,431
"11",11,11,4,124,40
"14",11,0,0,7,4
"01",11,2,2,108,26
"16",11,2,1,14,5
"20",11,0,0,2,0
"19",11,0,0,18,0
"09",11,0,0,61,23
"22",11,0,0,7,2
"10",11,0,0,9,0
"02",11,0,0,2,2
"05",11,33,10,407,47
"13",12,0,0,9,1
"17",12,0,0,3,2
"21",12,0,0,4,3
"18",12,0,0,4,2
"15",12,0,0,57,12
"08",12,134,37,870,172
"06",12,0,0,31,10
"12",12,1,1,54,10
"07",12,8,3,32,4
"03",12,501,135,2612,361
"11",12,15,4,159,35
"14",12,0,0,12,5
"01",12,6,4,143,35
"16",12,3,1,17,3
"20",12,0,0,5,3
"19",12,0,0,24,6
"09",12,0,0,79,18
"22",12,0,0,10,3
"10",12,0,0,16,7
"02",12,0,0,7,5
"05",12,45,12,488,81
"13",13,0,0,11,2
"17",13,0,0,3,0
"21",13,0,0,9,5
"18",13,0,0,4,0
"15",13,0,0,61,4
"08",13,182,48,1010,140
"06",13,0,0,42,11
"12",13,2,1,76,22
"07",13,12,4,51,19
"03",13,655,154,3420,808
"11",13,21,6,207,48
"14",13,0,0,14,2
"01",13,11,5,207,64
"16",13,5,2,26,9
"20",13,0,0,5,0
"19",13,0,0,35,11
"09",13,0,0,113,34
"22",13,0,0,14,4
"10",13,0,0,24,8
"02",13,0,0,8,1
"05",13,58,13,543,55
"13",14,0,0,17,6
"17",14,0,0,4,1
"21",14,0,0,9,0
"18",14,0,0,9,5
"15",14,0,0,101,40
"08",14,238,56,1180,170
"06",14,1,1,57,15
"12",14,5,3,87,11
"07",14,18,6,78,27
"03",14,922,267,4189,769
"11",14,28,7,272,65
"14",14,0,0,14,0
"01",14,16,5,360,153
"16",14,8,3,40,14
"20",14,0,0,11,6
"19",14,0,0,53,18
"09",14,0,0,166,53
"22",14,0,0,23,9
"10",14,0,0,26,2
"02",14,0,0,9,1
"05",14,76,18,670,127
"13",15,0,0,30,13
"17",15,0,0,5,1
"21",15,0,0,9,0
"18",15,0,0,11,2
"15",15,0,0,120,19
"08",15,308,70,1386,206
"06",15,2,1,93,36
"12",15,10,5,102,15
"07",15,25,7,109,31
"03",15,1255,333,5469,1280
"11",15,38,10,323,51
"14",15,0,0,14,0
"01",15,29,13,350,-10
"16",15,11,3,50,10
"20",15,0,0,19,8
"19",15,0,0,54,1
"09",15,1,1,208,42
"22",15,0,0,33,10
"10",15,0,0,28,2
"02",15,0,0,15,6
"05",15,96,20,744,74
"13",16,1,1,38,8
"17",16,0,0,7,2
"21",16,0,0,38,29
"18",16,0,0,13,2
"15",16,0,0,127,7
"08",16,393,85,1533,147
"06",16,5,3,116,23
"12",16,16,6,116,14
"07",16,33,8,141,32
"03",16,1723,468,5791,322
"11",16,51,13,394,71
"14",16,0,0,15,1
"01",16,46,17,453,103
"16",16,14,3,59,9
"20",16,0,0,20,1
"19",16,0,0,62,8
"09",16,2,1,264,56
"22",16,0,0,52,19
"10",16,0,0,37,9
"02",16,0,0,17,2
"05",16,122,26,856,112
"13",17,2,1,38,0
"17",17,0,0,8,1
"21",17,0,0,75,37
"18",17,0,0,19,6
"15",17,1,1,154,27
"08",17,506,113,1739,206
"06",17,11,6,126,10
"12",17,22,6,150,34
"07",17,41,8,194,53
"03",17,2340,617,7280,1489
"11",17,69,18,479,85
"14",17,0,0,16,1
"01",17,67,21,501,48
"16",17,19,5,77,18
"20",17,0,0,37,17
"19",17,0,0,83,21
"09",17,3,1,320,56
"22",17,0,0,77,25
"10",17,0,0,46,9
"02",17,1,1,20,3
"05",17,151,29,1023,167
"13",18,4,2,84,46
"17",18,0,0,8,0
"21",18,1,1,104,29
"18",18,0,0,33,14
"15",18,2,1,179,25
"08",18,652,146,1947,208
"06",18,19,8,167,41
"12",18,31,9,200,50
"07",18,52,11,274,80
"03",18,3084,744,8725,1445
"11",18,91,22,592,113
"14",18,0,0,16,0
"01",18,93,26,580,79
"16",18,24,5,104,27
"20",18,0,0,39,2
"19",18,2,2,115,32
"09",18,8,5,364,44
"22",18,1,1,107,30
"10",18,0,0,64,18
"02",18,2,1,27,7
"05",18,183,32,1384,361
"13",19,6,2,89,5
"17",19,0,0,10,2
"21",19,3,2,125,21
"18",19,0,0,38,5
"15",19,4,2,220,41
"08",19,853,201,2263,316
"06",19,29,10,257,90
"12",19,42,11,277,77
"07",19,69,17,345,71
"03",19,3974,890,9820,1095
"11",19,118,27,725,133
"14",19,0,0,17,1
"01",19,139,46,840,260
"16",19,29,5,129,25
"20",19,0,0,43,4
"19",19,4,2,130,15
"09",19,13,5,470,106
"22",19,3,2,163,56
"10",19,1,1,76,12
"02",19,3,1,28,1
"05",19,225,42,1595,211
"13",20,8,2,112,23
"17",20,0,0,10,0
"21",20,6,3,173,48
"18",20,0,0,60,22
"15",20,10,6,272,52
"08",20,1094,241,2644,381
"06",20,42,13,301,44
"12",20,55,13,357,80
"07",20,96,27,463,118
"03",20,4940,966,11685,1865
"11",20,154,36,899,174
"14",20,0,0,17,0
"01",20,198,59,873,33
"16",20,37,8,166,37
"20",20,0,0,47,4
"19",20,6,2,156,26
"09",20,19,6,630,160
"22",20,5,2,206,43
"10",20,2,1,107,31
"02",20,4,1,42,14
"05",20,280,55,1937,342
"13",21,11,3,137,25
"17",21,0,0,11,1
"21",21,11,5,204,31
"18",21,1,1,68,8
"15",21,19,9,333,61
"08",21,1378,284,3093,449
"06",21,56,14,347,46
"12",21,71,16,436,79
"07",21,129,33,559,96
"03",21,6158,1218,13272,1587
"11",21,200,46,1133,234
"14",21,0,0,17,0
"01",21,279,81,1111,238
"16",21,53,16,230,64
"20",21,2,2,77,30
"19",21,8,2,188,32
"09",21,27,8,781,151
"22",21,11,6,378,172
"10",21,3,1,143,36
"02",21,5,1,57,15
"05",21,343,63,2172,235
"13",22,15,4,176,39
"17",22,0,0,12,1
"21",22,17,6,241,37
"18",22,2,1,89,21
"15",22,28,9,400,67
"08",22,1724,346,3522,429
"06",22,78,22,386,39
"12",22,90,19,523,87
"07",22,179,50,667,108
"03",22,7578,1420,14649,1377
"11",22,257,57,1242,109
"14",22,1,1,21,4
"01",22,390,111,1516,405
"16",22,69,16,230,0
"20",22,4,2,107,30
"19",22,10,2,213,25
"09",22,41,14,866,85
"22",22,17,6,378,0
"10",22,4,1,164,21
"02",22,7,2,105,48
"05",22,412,69,2473,301
"13",23,21,6,229,53
"17",23,0,0,20,8
"21",23,25,8,291,50
"18",23,3,1,114,25
"15",23,37,9,460,60
"08",23,2117,393,3931,409
"06",23,108,30,394,8
"12",23,113,23,607,84
"07",23,239,60,778,111
"03",23,9218,1640,16220,1571
"11",23,326,69,1371,129
"14",23,2,1,25,4
"01",23,523,133,1897,381
"16",23,87,18,340,110
"20",23,6,2,117,10
"19",23,13,3,237,24
"09",23,58,17,1053,187
"22",23,24,7,385,7
"10",23,5,1,197,33
"02",23,9,2,136,31
"05",23,492,80,2704,231
"13",24,28,7,263,34
"17",24,0,0,27,7
"21",24,34,9,376,85
"18",24,4,1,129,15
"15",24,46,9,460,0
"08",24,2575,458,4525,594
"06",24,139,31,462,68
"12",24,145,32,724,117
"07",24,312,73,887,109
"03",24,11177,1959,17713,1493
"11",24,418,92,1568,197
"14",24,3,1,28,3
"01",24,677,154,2341,444
"16",24,106,19,383,43
"20",24,8,2,134,17
"19",24,16,3,282,45
"09",24,80,22,1330,277
"22",24,31,7,455,70
"10",24,7,2,247,50
"02",24,12,3,165,29
"05",24,586,94,3214,510
"13",25,39,11,385,122
"17",25,0,0,37,10
"21",25,48,14,436,60
"18",25,7,3,169,40
"15",25,63,17,652,192
"08",25,3106,531,5214,689
"06",25,175,36,599,137
"12",25,183,38,823,99
"07",25,403,91,1059,172
"03",25,13345,2168,19884,2171
"11",25,533,115,1737,169
"14",25,5,2,46,18
"01",25,852,175,2932,591
"16",25,131,25,478,95
"20",25,10,2,206,72
"19",25,20,4,340,58
"09",25,118,38,1482,152
"22",25,43,12,523,68
"10",25,9,2,334,87
"02",25,18,6,215,50
"05",25,701,115,3484,270
"13",26,56,17,449,64
"17",26,0,0,52,15
"21",26,65,17,548,112
"18",26,11,4,207,38
"15",26,80,17,749,97
"08",26,3746,640,5968,754
"06",26,213,38,656,57
"12",26,226,43,1008,185
"07",26,522,119,1221,162
"03",26,15894,2549,22264,2380
"11",26,670,137,1981,244
"14",26,10,5,50,4
"01",26,1061,209,3461,529
"16",26,157,26,581,103
"20",26,12,2,293,87
"19",26,24,4,408,68
"09",26,165,47,1793,311
"22",26,56,13,642,119
"10",26,16,7,395,61
"02",26,25,7,264,49
"05",26,832,131,4031,547
"13",27,78,22,529,80
"17",27,0,0,66,14
"21",27,85,20,621,73
"18",27,16,5,235,28
"15",27,102,22,844,95
"08",27,4461,715,6705,737
"06",27,255,42,790,134
"12",27,276,50,1190,182
"07",27,674,152,1436,215
"03",27,18989,3095,25515,3251
"11",27,824,154,2153,172
"14",27,17,7,61,11
"01",27,1299,238,3752,291
"16",27,186,29,675,94
"20",27,16,4,330,37
"19",27,30,6,490,82
"09",27,237,72,2012,219
"22",27,84,28,782,140
"10",27,26,10,462,67
"02",27,33,8,313,49
"05",27,978,146,4617,586
"13",28,111,33,587,58
"17",28,0,0,81,15
"21",28,108,23,678,57
"18",28,24,8,273,38
"15",28,131,29,936,92
"08",28,5277,816,7555,850
"06",28,302,47,874,84
"12",28,329,53,1383,193
"07",28,845,171,1665,229
"03",28,22445,3456,27206,1691
"11",28,1008,184,2421,268
"14",28,24,7,66,5
"01",28,1582,283,4420,668
"16",28,217,31,786,111
"20",28,23,7,339,9
"19",28,38,8,630,140
"09",28,328,91,2277,265
"22",28,119,35,954,172
"10",28,42,16,521,59
"02",28,42,9,364,51
"05",28,1147,169,5122,505
"13",29,149,38,663,76
"17",29,1,1,90,9
"21",29,137,29,724,46
"18",29,31,7,292,19
"15",29,180,49,1026,90
"08",29,6169,892,8535,980
"06",29,356,54,930,56
"12",29,392,63,1540,157
"07",29,1057,212,1924,259
"03",29,26221,3776,28761,1555
"11",29,1211,203,2569,148
"14",29,31,7,67,1
"01",29,1897,315,4861,441
"16",29,254,37,906,120
"20",29,34,11,359,20
"19",29,51,13,721,91
"09",29,437,109,2461,184
"22",29,160,41,1023,69
"10",29,58,16,577,56
"02",29,54,12,393,29
"05",29,1339,192,5505,383
"13",30,195,46,689,26
"17",30,2,1,92,2
"21",30,175,38,781,57
"18",30,41,10,319,27
"15",30,236,56,1101,75
"08",30,7154,985,9254,719
"06",30,420,64,992,62
"12",30,472,80,1728,188
"07",30,1288,231,2116,192
"03",30,30399,4178,30703,1942
"11",30,1442,231,2736,167
"14",30,39,8,73,6
"01",30,2271,374,5515,654
"16",30,298,44,1005,99
"20",30,49,15,421,62
"19",30,71,20,846,125
"09",30,566,129,2699,238
"22",30,216,56,1110,87
"10",30,77,19,648,71
"02",30,73,19,400,7
"05",30,1555,216,5948,443
"13",31,247,52,813,124
"17",31,3,1,113,21
"21",31,218,43,858,77
"18",31,52,11,351,32
"15",31,310,74,1199,98
"08",31,8231,1077,10054,800
"06",31,490,70,1139,147
"12",31,567,95,1901,173
"07",31,1542,254,2305,189
"03",31,34873,4474,32346,1643
"11",31,1729,287,2934,198
"14",31,47,8,73,0
"01",31,2720,449,6024,509
"16",31,346,48,1093,88
"20",31,67,18,442,21
"19",31,96,25,994,148
"09",31,708,142,2972,273
"22",31,290,74,1222,112
"10",31,96,19,710,62
"02",31,97,24,401,1
"05",31,1813,258,6442,494
"13",32,310,63,946,133
"17",32,4,1,134,21
"21",32,266,48,906,48
"18",32,66,14,393,42
"15",32,393,83,1310,111
"08",32,9405,1174,10816,762
"06",32,562,72,1223,84
"12",32,673,106,2096,195
"07",32,1822,280,2567,262
"03",32,39734,4861,34889,2543
"11",32,2039,310,3114,180
"14",32,55,8,103,30
"01",32,3169,449,6534,510
"16",32,411,65,1182,89
"20",32,86,19,494,52
"19",32,129,33,1164,170
"09",32,866,158,3226,254
"22",32,376,86,1297,75
"10",32,116,20,802,92
"02",32,125,28,408,7
"05",32,2100,287,6935,493
"13",33,378,68,1017,71
"17",33,7,3,151,17
"21",33,326,60,1003,97
"18",33,84,18,494,101
"15",33,491,98,1454,144
"08",33,10672,1267,11588,772
"06",33,638,76,1317,94
"12",33,791,118,2295,199
"07",33,2153,331,2696,129
"03",33,45136,5402,37298,2409
"11",33,2375,336,3196,82
"14",33,64,9,109,6
"01",33,3738,569,7092,558
"16",33,480,69,1334,152
"20",33,107,21,530,36
"19",33,168,39,1250,86
"09",33,1043,177,3450,224
"22",33,478,102,1391,94
"10",33,137,21,884,82
"02",33,162,37,452,44
"05",33,2413,313,7497,562
"13",34,454,76,1133,116
"17",34,10,3,182,31
"21",34,390,64,1109,106
"18",34,105,21,555,61
"15",34,600,109,1592,138
"08",34,12016,1344,12383,795
"06",34,725,87,1436,119
"12",34,915,124,2505,210
"07",34,2511,358,2822,126
"03",34,51080,5944,39415,2117
"11",34,2739,364,3373,177
"14",34,73,9,123,14
"01",34,4355,617,7671,579
"16",34,551,71,1458,124
"20",34,133,26,624,94
"19",34,225,57,1359,109
"09",34,1241,198,3817,367
"22",34,598,120,1505,114
"10",34,165,28,969,85
"02",34,203,41,511,59
"05",34,2775,362,7930,433
"13",35,542,88,1293,160
"17",35,14,4,202,20
"21",35,454,64,1214,105
"18",35,130,25,614,59
"15",35,717,117,1759,167
"08",35,13459,1443,13119,736
"06",35,823,98,1480,44
"12",35,1051,136,2706,201
"07",35,2888,377,3076,254
"03",35,57440,6360,41007,1592
"11",35,3125,386,3558,185
"14",35,82,9,127,4
"01",35,5039,684,8206,535
"16",35,637,86,1549,91
"20",35,160,27,638,14
"19",35,290,65,1460,101
"09",35,1456,215,4122,305
"22",35,727,129,1594,89
"10",35,196,31,1023,54
"02",35,246,43,584,73
"05",35,3167,392,8358,428
"13",36,644,102,1345,52
"17",36,19,5,214,12
"21",36,528,74,1325,111
"18",36,161,31,647,33
"15",36,842,125,1952,193
"08",36,14997,1538,13531,412
"06",36,930,107,1501,21
"12",36,1201,150,2914,208
"07",36,3285,397,3217,141
"03",36,64258,6818,42161,1154
"11",36,3542,417,3684,126
"14",36,91,9,134,7
"01",36,5788,749,8712,506
"16",36,728,91,1712,163
"20",36,188,28,682,44
"19",36,366,76,1555,95
"09",36,1687,231,4412,290
"22",36,874,147,1682,88
"10",36,229,33,1051,28
"02",36,296,50,584,0
"05",36,3580,413,8724,366
"13",37,759,115,1401,56
"17",37,26,7,226,12
"21",37,604,76,1371,46
"18",37,197,36,659,12
"15",37,975,133,2092,140
"08",37,16641,1644,14074,543
"06",37,1043,113,1593,92
"12",37,1363,162,3095,181
"07",37,3713,428,3416,199
"03",37,71457,7199,43208,1047
"11",37,3994,452,3825,141
"14",37,100,9,144,10
"01",37,6642,854,9301,589
"16",37,838,110,1803,91
"20",37,219,31,722,40
"19",37,447,81,1647,92
"09",37,1931,244,4608,196
"22",37,1038,164,1746,64
"10",37,266,37,1078,27
"02",37,352,56,628,44
"05",37,4057,477,9155,431
"13",38,882,123,1436,35
"17",38,35,9,237,11
"21",38,720,116,1418,47
"18",38,235,38,669,10
"15",38,1123,148,2231,139
"08",38,18373,1732,14787,713
"06",38,1165,122,1685,92
"12",38,1532,169,3264,169
"07",38,4173,460,3660,244
"03",38,79050,7593,44773,1565
"11",38,4471,477,3962,137
"14",38,110,10,160,16
"01",38,7528,886,9795,494
"16",38,967,129,1946,143
"20",38,253,34,745,23
"19",38,535,88,1718,71
"09",38,2184,253,4867,259
"22",38,1211,173,1870,124
"10",38,303,37,1095,17
"02",38,411,59,631,3
"05",38,4556,499,9625,470
"13",39,1015,133,1497,61
"17",39,45,10,246,9
"21",39,849,129,1479,61
"18",39,276,41,691,22
"15",39,1290,167,2456,225
"08",39,20184,1811,15333,546
"06",39,1294,129,1799,114
"12",39,1717,185,3433,169
"07",39,4661,488,3782,122
"03",39,87010,7960,46065,1292
"11",39,4974,503,4098,136
"14",39,121,11,165,5
"01",39,8511,983,10353,558
"16",39,1111,144,2077,131
"20",39,293,40,794,49
"19",39,628,93,1791,73
"09",39,2452,268,5273,406
"22",39,1398,187,2003,133
"10",39,341,38,1128,33
"02",39,474,63,668,37
"05",39,5088,532,10111,486
"13",40,1161,146,1563,66
"17",40,56,11,261,15
"21",40,988,139,1559,80
"18",40,321,45,733,42
"15",40,1471,181,2677,221
"08",40,22086,1902,15932,599
"06",40,1430,136,1879,80
"12",40,1916,199,3600,167
"07",40,5180,519,3965,183
"03",40,95321,8311,47520,1455
"11",40,5531,557,4230,132
"14",40,132,11,176,11
"01",40,9554,1043,10896,543
"16",40,1275,164,2182,105
"20",40,334,41,825,31
"19",40,729,101,1859,68
"09",40,2742,290,5499,226
"22",40,1602,204,2109,106
"10",40,380,39,1179,51
"02",40,544,70,719,51
"05",40,5660,572,10464,353
"13",41,1314,153,1628,65
"17",41,67,11,264,3
"21",41,1134,146,1592,33
"18",41,370,49,741,8
"15",41,1657,186,2828,151
"08",41,24063,1977,16540,608
"06",41,1575,145,1986,107
"12",41,2128,212,3757,157
"07",41,5722,542,4203,238
"03",41,103977,8656,49118,1598
"11",41,6105,574,4341,111
"14",41,143,11,206,30
"01",41,10682,1128,11709,813
"16",41,1448,173,2240,58
"20",41,375,41,874,49
"19",41,840,111,1932,73
"09",41,3049,307,5671,172
"22",41,1812,210,2220,111
"10",41,421,41,1210,31
"02",41,626,82,748,29
"05",41,6267,607,10824,360
"13",42,1472,158,1703,75
"17",42,80,13,278,14
"21",42,1292,158,1644,52
"18",42,426,56,795,54
"15",42,1846,189,2960,132
"08",42,26114,2051,17089,549
"06",42,1729,154,2048,62
"12",42,2347,219,3880,123
"07",42,6278,556,4449,246
"03",42,112882,8905,50455,1337
"11",42,6704,599,4464,123
"14",42,156,13,224,18
"01",42,11850,1168,12362,653
"16",42,1630,182,2317,77
"20",42,418,43,907,33
"19",42,956,116,1994,62
"09",42,3374,325,5847,176
"22",42,2029,217,2285,65
"10",42,464,43,1239,29
"02",42,717,91,782,34
"05",42,6898,631,11226,402
"13",43,1641,169,1721,18
"17",43,93,13,287,9
"21",43,1456,164,1722,78
"18",43,484,58,817,22
"15",43,2050,204,3058,98
"08",43,28222,2108,17556,467
"06",43,1887,158,2103,55
"12",43,2576,229,4031,151
"07",43,6873,595,4549,100
"03",43,122084,9202,51534,1079
"11",43,7316,612,4614,150
"14",43,169,13,224,0
"01",43,13101,1251,12924,562
"16",43,1825,195,2444,127
"20",43,465,47,922,15
"19",43,1079,123,2046,52
"09",43,3724,350,6001,154
"22",43,2259,230,2348,63
"10",43,508,44,1253,14
"02",43,813,96,805,23
"05",43,7560,662,11588,362
"13",44,1813,172,1799,78
"17",44,107,14,291,4
"21",44,1630,174,1811,89
"18",44,544,60,833,16
"15",44,2266,216,3148,90
"08",44,30402,2180,17825,269
"06",44,2051,164,2153,50
"12",44,2814,238,4149,118
"07",44,7493,620,4757,208
"03",44,131568,9484,52325,791
"11",44,7946,630,4710,96
"14",44,182,13,224,0
"01",44,14420,1319,13343,419
"16",44,2034,209,2514,70
"20",44,517,52,935,13
"19",44,1204,125,2097,51
"09",44,4093,369,6173,172
"22",44,2503,244,2476,128
"10",44,557,49,1263,10
"02",44,913,100,835,30
"05",44,8255,695,11925,337
"13",45,1992,179,1859,60
"17",45,121,14,297,6
"21",45,1813,183,1835,24
"18",45,604,60,859,26
"15",45,2487,221,3268,120
"08",45,32636,2234,18234,409
"06",45,2220,169,2218,65
"12",45,3058,244,4266,117
"07",45,8147,654,4906,149
"03",45,141290,9722,53414,1089
"11",45,8598,652,4859,149
"14",45,195,13,226,2
"01",45,15798,1378,13883,540
"16",45,2253,219,2634,120
"20",45,576,59,975,40
"19",45,1337,133,2159,62
"09",45,4485,392,6379,206
"22",45,2758,255,2602,126
"10",45,607,50,1289,26
"02",45,1015,102,850,15
"05",45,8991,736,12410,485
"13",46,2186,194,1931,72
"17",46,136,15,303,6
"21",46,2000,187,1903,68
"18",46,665,61,874,15
