"id","region","city","area","NO2","PM2.5","PM10","incomePerCapita","healthExpenditure","density"
"13","Abruzzo","Pescara",10831.4964,24.2552901023891,14.3657407407407,23.4864864864865,16.43,1087,121.0894554
"13","Abruzzo","Pescara",10831.4964,27.8608823529412,16.5714285714286,27.0529411764706,16.43,1087,121.0894554
"13","Abruzzo","Pescara",10831.4964,13.0202777777778,14.6416666666667,23.9416666666667,16.43,1087,121.0894554
"13","Abruzzo","Pescara",10831.4964,29.437,17.1888888888889,26.4761904761905,16.43,1087,121.0894554
"17","Basilicata",NA,10073.1105,NA,NA,NA,14.04,1166,55.87837044
"18","Calabria","Catanzaro",15221.6149,25.7848484848485,7.79075630252101,22.3004184100418,12.74,1006,127.9188189
"18","Calabria","Catanzaro",15221.6149,21.2953974895397,11.4338983050847,20.2710526315789,12.74,1006,127.9188189
"18","Calabria","Catanzaro",15221.6149,18.3267543859649,12.0841121495327,23.0529914529915,12.74,1006,127.9188189
"18","Calabria","Catanzaro",15221.6149,13.1536723163842,8.64074074074074,18.6107476635514,12.74,1006,127.9188189
"18","Calabria","Cosenza",15221.6149,21.0738738738739,12.6691666666667,21.8411764705882,12.74,1006,127.9188189
"18","Calabria","Cosenza",15221.6149,19.4722222222222,14.5571428571429,21.0314814814815,12.74,1006,127.9188189
"18","Calabria","Cosenza",15221.6149,28.3754237288136,12.5427083333333,21.8592920353982,12.74,1006,127.9188189
"18","Calabria","Cosenza",15221.6149,17.0230769230769,11.5457943925234,19.2121495327103,12.74,1006,127.9188189
"15","Campania","Avellino",13670.598,28.7,17.4967391304348,30.1315217391304,13.46,923,424.3919688
"15","Campania","Avellino",13670.598,20.1623931623932,15.1284403669725,24.0545454545455,13.46,923,424.3919688
"15","Campania","Avellino",13670.598,21.6226890756303,14.965811965812,32.0568965517241,13.46,923,424.3919688
"15","Campania","Avellino",13670.598,18.0878787878788,11.5837209302326,24.8523255813953,13.46,923,424.3919688
"15","Campania","Benevento",13670.598,18.8274436090226,14.1372294372294,24.8317507418398,13.46,923,424.3919688
