"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"(Intercept)",-3.91299955100956,1.65499856867981,-7.16231700160587,-3.9130461373788,-0.666398888999294,-3.91299940594218,1.55814571907217e-09
"NO2",0.0121527827462609,0.0209183501744379,-0.0289106193155918,0.0121498057519009,0.0531956289070797,0.0121455855012182,3.43013956255863e-07
"PM2.5",-0.00310589776677277,0.0253803176183216,-0.0529361441452521,-0.00310649303723366,0.0466816338543189,-0.00310553156834966,4.61438206152132e-08
"PM10",-0.00417169370977151,0.0225307306699633,-0.048405289084112,-0.00417310375443729,0.040029747708153,-0.00417403917252585,1.65497009255216e-07
"incomePerCapita",0.0898913543000944,0.070953348800796,-0.0494141627418614,0.0898892482794053,0.229081904419421,0.0898910153922244,2.22509148945403e-08
"healthExpenditure",-0.111000474037647,0.089861246399631,-0.287428130026396,-0.111002965353276,0.0652790122162652,-0.111000344323591,1.00588979989589e-08
"density",0.0199492562080006,0.0875500293920143,-0.151941179022211,0.01994678533342,0.191696620586181,0.0199492334105785,3.21825858305008e-09
